FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220209;2100;18;;;
220209;2200;18;;;
220209;2300;16;;;
220210;0000;19;;;
220210;0100;17;;;
220210;0200;14;;;
220210;0300;16;;;
220210;0400;21;;;
220210;0500;19;;;
220210;0600;17;;;
220210;0700;20;;;
220210;0800;20;;;
220210;0900;25;;;
220210;1000;23;;;
220210;1100;24;;;
220210;1200;21;;;
220210;1300;19;;;
220210;1400;19;;;
220210;1500;17;;;
220210;1600;17;;;
220210;1700;15;;;
220210;1800;16;;;
220210;1900;13;;;
220210;2000;11;;;
220210;2100;12;;;
220210;2200;19;;;
220210;2300;15;;;
220211;0000;16;;;
220211;0100;13;;;
220211;0200;12;;;
220211;0300;11;;;
220211;0400;12;;;
220211;0500;11;;;
220211;0600;10;;;
220211;0700;19;;;
220211;0800;17;;;
220211;0900;18;;;
220211;1000;19;;;
220211;1100;20;;;
220211;1200;20;;;
220211;1300;21;;;
220211;1400;19;;;
220211;1500;21;;;
220211;1600;12;;;
220211;1700;14;;;
220211;1800;19;;;
220211;1900;25;;;
220211;2000;31;;;
220211;2100;33;;;
220211;2200;38;;;
220211;2300;38;;;
220212;0000;29;;;
220212;0100;39;;;
220212;0200;37;;;
220212;0300;35;;;
220212;0400;33;;;
220212;0500;39;;;
220212;0600;44;;;
220212;0700;48;;;
220212;0800;39;;;
220212;0900;35;;;
220212;1000;25;;;
220212;1100;24;;;
220212;1200;31;;;
220212;1300;17;;;
220212;1400;12;;;
220212;1500;19;;;
220212;1600;19;;;
220212;1700;15;;;
220212;1800;21;;;
220212;1900;31;;;
220212;2000;28;;;
220212;2100;30;;;
220212;2200;32;;;
220212;2300;25;;;
220213;0000;19;;;
220213;0100;22;;;
220213;0200;25;;;
220213;0300;22;;;
220213;0400;26;;;
220213;0500;20;;;
220213;0600;22;;;
220213;0700;22;;;
220213;0800;21;;;
220213;0900;24;;;
220213;1000;19;;;
220213;1100;16;;;
220213;1200;19;;;
220213;1300;18;;;
220213;1400;26;;;
220213;1500;19;;;
220213;1600;19;;;
220213;1700;20;;;
220213;1800;16;;;
220213;1900;20;;;
220213;2000;14;;;
220213;2100;13;;;
220213;2200;17;;;
220213;2300;17;;;
220214;0000;21;;;
220214;0100;13;;;
220214;0200;10;;;
220214;0300;12;;;
220214;0400;12;;;
220214;0500;15;;;
220214;0600;20;;;
220214;0700;17;;;
220214;0800;21;;;
220214;0900;21;;;
220214;1000;23;;;
220214;1100;24;;;
220214;1200;24;;;
220214;1300;23;;;
220214;1400;20;;;
220214;1500;21;;;
220214;1600;18;;;
220214;1700;22;;;
220214;1800;19;;;
220214;1900;24;;;
220214;2000;21;;;
220214;2100;26;;;
220214;2200;15;;;
220214;2300;17;;;
220215;0000;20;;;
220215;0100;17;;;
220215;0200;17;;;
220215;0300;13;;;
220215;0400;19;;;
220215;0500;21;;;
220215;0600;21;;;
220215;0700;18;;;
220215;0800;20;;;
220215;0900;31;;;
220215;1000;27;;;
220215;1100;26;;;
220215;1200;23;;;
220215;1300;19;;;
220215;1400;15;;;
220215;1500;14;;;
220215;1600;16;;;
220215;1700;17;;;
220215;1800;11;;;
220215;1900;17;;;
220215;2000;14;;;
220215;2100;12;;;
220215;2200;16;;;
220215;2300;12;;;
220216;0000;10;;;
220216;0100;8;;;
220216;0200;11;;;
220216;0300;10;;;
220216;0400;10;;;
220216;0500;11;;;
220216;0600;17;;;
220216;0700;18;;;
220216;0800;23;;;
220216;0900;22;;;
220216;1000;26;;;
220216;1100;22;;;
220216;1200;22;;;
220216;1300;22;;;
220216;1400;15;;;
